title,publish_date,media_name,url,cluster,UMAP1,UMAP2,title_total_frequency,title_date_frequency,publish_year,publish_month,publish_day,days_since_min,label,cluster_name
"""This is so sad"": Musk called out for anti-trans rant about his child",7/23/24,salon.com,https://www.salon.com/2024/07/23/this-is-so-sad-elon-musk-called-out-for-awful-anti-trans-rant-about-his-own-child/,48,5.8144493,0.91977787,2,2,2024,7,23,1665,Musk and Daughter,Musk and Daughter
"""Transgender women are women"": Daniel Radcliffe responds to J.K Rowling's controversial comments",6/8/20,cbsnews.com,https://www.cbsnews.com/news/jk-rowling-twitter-controversy-daniel-radcliffe-responds-to-authors-anti-trans-comments-2020-06-08/,63,6.191531,-3.8957586,8,4,2020,6,8,159,Rowling Trans Controversy,Rowling Trans Controversy
"""Transgender women are women"": Daniel Radcliffe responds to J.K Rowling's controversial comments",6/9/20,cbsnews.com,http://feeds.cbsnews.com/~r/CBSNewsMain/~3/yQwkiyRjam8/,63,6.1994686,-3.9014988,8,4,2020,6,9,160,Rowling Trans Controversy,Rowling Trans Controversy
"""We do this as parents"": Dwyane Wade and Gabrielle Union-Wade's emotional call to support trans kids",2/26/23,motherjones.com,https://www.motherjones.com/media/2023/02/dwyane-wade-gabrielle-union-support-trans-kids/,76,-2.4178972,-5.134739,4,4,2023,2,26,1152,Wades Trans Daughter,Wades Trans Daughter
"""You will not summon me"": Dave Chappelle responds to trans community after Netflix backlash",10/25/21,newsweek.com,https://www.newsweek.com/you-will-not-summon-me-dave-chappelle-responds-trans-community-after-netflix-backlash-1642469,52,0.33287525,-7.5535555,2,2,2021,10,25,663,Chappelle Controversy,Chappelle Controversy
"""You're engaging in Holocaust denial"": Critics slam J.K. Rowling's latest anti-trans stance",3/15/24,salon.com,https://www.salon.com/2024/03/15/jk-rowling-trans-nazis-holocaust-denial/,63,6.0865116,-3.7182426,3,3,2024,3,15,1535,Rowling Trans Controversy,Rowling Trans Controversy
"""Zaya"" trends after Dwyane Wade, Gabrielle Union introduce trans daughter to world as ""compassionate, loving, whip smart""",2/11/20,newsweek.com,https://www.newsweek.com/zaya-trends-after-dwyane-wade-gabrielle-union-introduce-trans-daughter-world-compassionate-1486835?utm_source=Public&utm_medium=Feed&utm_campaign=Distribution,76,-2.3699265,-5.225128,1,1,2020,2,11,41,Wades Trans Daughter,Wades Trans Daughter
"#NetflixWalkout: Lilly Wachowski, Billy Eichner, Elliot Page and More Stars Support Trans Employees' Protest",10/20/21,thewrap.com,https://www.thewrap.com/netflix-walkout-trans-employees-celebrity-support-lilly-wachowski-billy-eichner-elliot-page-tweets/,52,0.94209194,-7.9415474,2,2,2021,10,20,658,Chappelle Controversy,Chappelle Controversy
&lsquo;Morning After&rsquo; Antibiotic Could Reduce STIs,10/6/23,scientificamerican.com,https://www.scientificamerican.com/article/morning-after-antibiotic-could-reduce-stis/,21,-5.2963524,8.6484,1,1,2023,10,6,1374,Morning-After STI Pill,Morning-After STI Pill
''Let's Make a Deal'' host Wayne Brady says he is pansexual,8/8/23,cbsnews.com,https://www.cbsnews.com/miami/news/lets-make-a-deal-host-wayne-brady-says-he-is-pansexual/,27,-2.5304308,-7.3262997,1,1,2023,8,8,1315,Wayne Brady Pansexual,Wayne Brady Pansexual
"'All my love, Elliot': Actor Page comes out as transgender",12/1/20,abcnews.go.com,https://abcnews.go.com/Entertainment/wireStory/love-elliot-actor-page-transgender-74487863,84,2.934596,-6.1467113,9,9,2020,12,1,335,Elliot Page Comes Out,Elliot Page Comes Out
"'All my love, Elliot': Actor Page comes out as transgender",12/1/20,startribune.com,https://www.startribune.com/all-my-love-elliot-actor-page-comes-out-as-transgender/573251641/,84,2.9345932,-6.1677246,9,9,2020,12,1,335,Elliot Page Comes Out,Elliot Page Comes Out
"'All my love, Elliot': Actor Page comes out as transgender",12/1/20,stltoday.com,https://www.stltoday.com/news/national/all-my-love-elliot-actor-page-comes-out-as-transgender/article_7b7bf1c0-f95b-56f6-b43c-c480819c9158.html,84,2.93583,-6.1512365,9,9,2020,12,1,335,Elliot Page Comes Out,Elliot Page Comes Out
'Assault on freedom': Critics blast expansion of Florida's 'Don't Say Gay' law,4/19/23,alternet.org,https://www.alternet.org/assault-on-freedom-critics-blast/,107,3.0073242,3.4959812,1,1,2023,4,19,1204,Dont Say Gay Law,Dont Say Gay Law
'Carte blanche for violence': Russia’s gender-affirming surgery ban clears first hurdle,7/19/23,alternet.org,https://www.alternet.org/new-law-trans-russians-violence/,55,3.3330956,7.221799,2,2,2023,7,19,1295,Russias Anti-LGBTQ Crackdown,Russias Anti-LGBTQ Crackdown
'Dave Chappelle ambushed us at the John Mulaney show': The internet is in an uproar after the comic told a 'transphobic joke' when opening for Columbus stop on Mulaney's tour,5/22/22,dailydot.com,https://www.dailydot.com/unclick/john-mulaney-dave-chappelle/,52,0.00730896,-7.611105,1,1,2022,5,22,872,Chappelle Controversy,Chappelle Controversy
'Dear White People' showrunner boycotts Netflix over 'transphobic' Dave Chappelle special,10/8/21,nbcnews.com,https://www.nbcnews.com/nbc-out/out-pop-culture/dear-white-people-showrunner-boycotts-netflix-transphobic-dave-chappel-rcna2779,52,0.47828293,-7.1822567,1,1,2021,10,8,646,Chappelle Controversy,Chappelle Controversy
"'Dear White People' showrunner quits Netflix to protest Dave Chappelle's transgender jokes, but its backfiring badly online",10/9/21,theblaze.com,https://www.theblaze.com/news/dave-chappelle-dear-white-people,52,0.50262547,-7.094124,2,2,2021,10,9,647,Chappelle Controversy,Chappelle Controversy
'Don't Say Gay' Bill Signed By Florida Gov. Ron DeSantis,3/29/22,newsy.com,https://www.newsy.com/stories/don-t-say-gay-bill-signed-by-florida-gov-ron-desantis/,107,5.2655125,1.5767279,1,1,2022,3,29,818,Dont Say Gay Law,Dont Say Gay Law
'Don't Say Gay' bill passes Florida Senate,3/8/22,abcnews.go.com,https://abcnews.go.com/Politics/dont-gay-bill-passes-florida-senate/story?id=83301889,107,3.2238665,3.626604,1,1,2022,3,8,797,Dont Say Gay Law,Dont Say Gay Law
"'Don't Say Gay' bill passes in Florida, goes to governor",3/8/22,startribune.com,https://www.startribune.com/dont-say-gay-bill-passes-in-florida-goes-to-governor/600154054/,107,3.317236,3.6014004,1,1,2022,3,8,797,Dont Say Gay Law,Dont Say Gay Law
'Don't Say Gay' bill signed by Florida Gov. Ron DeSantis,3/28/22,startribune.com,https://www.startribune.com/dont-say-gay-bill-signed-by-florida-gov-ron-desantis/600160071/,107,5.274907,1.5380735,1,1,2022,3,28,817,Dont Say Gay Law,Dont Say Gay Law
'Don't Say Gay' bill would limit discussion of sexuality and gender in Florida schools,2/9/22,npr.org,https://www.npr.org/2022/02/09/1079541236/florida-dont-say-gay-bill,107,1.9100437,4.4212255,1,1,2022,2,9,770,Dont Say Gay Law,Dont Say Gay Law
"'Don't Say Gay' law brings worry, confusion to Florida schools",8/15/22,pbs.org,https://www.pbs.org/newshour/education/dont-say-gay-law-brings-worry-confusion-to-florida-schools,107,1.6939116,4.421035,2,2,2022,8,15,957,Dont Say Gay Law,Dont Say Gay Law
'Don't Say Gay' law confuses some Florida schools,8/15/22,startribune.com,https://www.startribune.com/dont-say-gay-law-confuses-some-florida-schools/600198434/,107,1.7747364,4.4065876,2,2,2022,8,15,957,Dont Say Gay Law,Dont Say Gay Law
'Don't Say Gay': How is Disney embroiled in Florida bill debate?,3/22/22,csmonitor.com,https://www.csmonitor.com/USA/Politics/2022/0322/Don-t-Say-Gay-How-is-Disney-embroiled-in-Florida-bill-debate,108,5.0904045,-3.2105846,1,1,2022,3,22,811,Disney Dont Say Gay,Disney Dont Say Gay
'Emilia Perez' movie controversy: Oscar nominated film gets backlash,1/24/25,usatoday.com,https://www.usatoday.com/story/entertainment/movies/2025/01/24/emilia-perez-controversy-oscars/77924021007/,51,-0.5921049,-6.3601418,2,2,2025,1,24,1850,Emilia Pérez Controversy,Emilia Pérez Controversy
'Emilia Pérez' star Karla Sofia Gascón continues to spark controversy amid film's Oscar campaign,2/7/25,nbcnews.com,https://www.nbcnews.com/pop-culture/emilia-perez-karla-sofia-gascon-comments-oscars-director-what-know-rcna191000,51,-1.677248,-6.392849,2,2,2025,2,7,1864,Emilia Pérez Controversy,Emilia Pérez Controversy
"'Emilia Pérez' star Karla Sofía Gascón stokes controversy over past social media posts, Oscars comments",1/30/25,ew.com,https://ew.com/emilia-perez-karla-sofia-gascon-social-media-posts-controversy-8783248,51,-1.8382788,-6.3853292,2,2,2025,1,30,1856,Emilia Pérez Controversy,Emilia Pérez Controversy
"'Emilia Pérez': All the buzz and backlash around the Oscars' top nominee, explained",1/23/25,latimes.com,https://www.latimes.com/entertainment-arts/awards/story/2025-01-23/emilia-perez-netflix-oscars-explainer,51,-0.5628023,-6.443984,1,1,2025,1,23,1849,Emilia Pérez Controversy,Emilia Pérez Controversy
'F*** that!': Joe Rogan says he will quit Spotify if he has to 'walk on eggshells',3/31/22,theblaze.com,https://www.theblaze.com/news/joe-rogan-quit-spotify-eggshells,24,-2.5804863,-3.7968378,1,1,2022,3,31,820,Joe Rogan Controversy,Joe Rogan Controversy
"'Feeling more feminine,' Demi Lovato adds she/her back into pronoun options",8/2/22,latimes.com,https://www.latimes.com/entertainment-arts/music/story/2022-08-02/demi-lovato-updates-pronouns-to-include-she-her,45,-1.6539135,-6.4573154,2,2,2022,8,2,944,Demi Lovatos Pronouns,Demi Lovatos Pronouns
'Flash' Star Ezra Miller Tells Police 'I Film Myself When I Get Assaulted For NFT Crypto Art',5/12/22,ibtimes.com,https://www.ibtimes.com/flash-star-ezra-miller-tells-police-i-film-myself-when-i-get-assaulted-nft-crypto-art-3505496?utm_source=Public&utm_medium=Feed&utm_campaign=Distribution,9,0.81433487,10.339128,2,2,2022,5,12,862,Ezra Miller Controversy,Ezra Miller Controversy
'Gay conversion therapy' banned in conservative Utah,1/21/20,latimes.com,https://www.latimes.com/world-nation/story/2020-01-21/so-called-conversion-therapy-banned-in-conservative-utah,105,-0.60606575,7.052204,1,1,2020,1,21,20,Utah Conversion Therapy Ban,Utah Conversion Therapy Ban
'Gender Neutrality' Emojis Have Given Us a Pregnant Man Emoji,7/16/21,townhall.com,https://townhall.com/tipsheet/rebeccadowns/2021/07/16/gender-neutrality-emojis-have-given-us-a-pregnant-man-emoji-n2592670,13,7.0971003,8.051342,2,2,2021,7,16,562,New Emojis,New Emojis
'Gender is a fact': Dave Chappelle triggers critics with new politically incorrect comedy special,10/6/21,theblaze.com,https://www.theblaze.com/news/dave-chappelle-gender-politically-incorrect-comedy,52,0.24279785,-7.526966,1,1,2021,10,6,644,Chappelle Controversy,Chappelle Controversy
'Genderfluid' Biden Official Allegedly Stole a Woman's Luggage,11/28/22,breitbart.com,https://www.breitbart.com/politics/2022/11/28/genderfluid-biden-official-sam-brinton-allegedly-stole-womans-luggage/,29,-6.019493,1.114502,1,1,2022,11,28,1062,Brinton Luggage Thefts,Brinton Luggage Thefts
'Hands Off!' protests against Trump and Musk are planned across the US,4/5/25,abcnews.go.com,https://abcnews.go.com/US/wireStory/hands-off-protests-trump-musk-planned-us-120512700,28,2.899024,0.29933167,4,4,2025,4,5,1921,Hands Off! Protests,Hands Off! Protests
'Hands Off!' protests against Trump and Musk are planned across the US,4/5/25,ajc.com,https://www.ajc.com/news/nation-world/hands-off-protests-against-trump-and-musk-are-planned-across-the-us/HMAG7VYULVDM3N3JVT4TFWYFJ4/,28,2.9236822,0.2891798,4,4,2025,4,5,1921,Hands Off! Protests,Hands Off! Protests
'Hands Off!' protests against Trump and Musk are planned across the US,4/5/25,inquirer.com,https://www.inquirer.com/wires/ap/hands-off-protests-against-trump-musk-are-planned-across-us-20250405.html,28,2.9010353,0.29437637,4,4,2025,4,5,1921,Hands Off! Protests,Hands Off! Protests
'Hands Off!' protests against Trump and Musk are planned across the US,4/5/25,newsday.com,https://www.newsday.com/news/nation/trump-musk-doge-protests-hands-off-p22676,28,2.9093132,0.29055405,4,4,2025,4,5,1921,Hands Off! Protests,Hands Off! Protests
'Harry Potter' Star Calls J.K. Rowling a 'Bigot' Over Trans Views After UK Supreme Court Ruling,4/25/25,breitbart.com,https://www.breitbart.com/entertainment/2025/04/25/harry-potter-star-calls-j-k-rowling-a-bigot-over-trans-views-after-uk-supreme-court-ruling/,63,6.201208,-3.7256908,1,1,2025,4,25,1941,Rowling Trans Controversy,Rowling Trans Controversy
'Harry Potter' Star Emma Watson Tweets Support for Trans Lives After JK Rowling's Transphobic Rant,6/10/20,thewrap.com,https://www.thewrap.com/harry-potter-emma-watson-trans-rights-jk-rowling/,63,6.1451426,-3.7977977,2,2,2020,6,10,161,Rowling Trans Controversy,Rowling Trans Controversy
"'Harry Potter' actor slams J.K. Rowling's comments on gender, argues: 'Transgender women are women'",6/9/20,theblaze.com,https://www.theblaze.com/news/harry-potter-actor-slams-j-k-rowlings-comments-on-gender-argues-transgender-women-are-women,63,6.2576475,-3.916957,4,4,2020,6,9,160,Rowling Trans Controversy,Rowling Trans Controversy
'Harry Potter' author J.K. Rowling doubles down on her transgender heresy and woke Twitter is melting down,6/10/20,theblaze.com,https://www.theblaze.com/news/rowling-bashed-transgender-essay,63,6.154396,-3.7905817,2,2,2020,6,10,161,Rowling Trans Controversy,Rowling Trans Controversy
'Harry Potter' author J.K. Rowling's tweets blasted for being anti-transgender,6/7/20,latimes.com,https://www.latimes.com/entertainment-arts/story/2020-06-07/jk-rowling-tweets-transphobic-transgender,63,6.179764,-3.7416716,4,4,2020,6,7,158,Rowling Trans Controversy,Rowling Trans Controversy
'Harry Potter' author JK Rowling faces backlash to anti-trans comments,4/18/25,usatoday.com,https://www.usatoday.com/story/entertainment/celebrities/2025/04/18/jk-rowling-anti-trans-controversy/83161361007/,63,6.2288837,-3.7309818,3,3,2025,4,18,1934,Rowling Trans Controversy,Rowling Trans Controversy
'Harry Potter' game allows creation of trans players despite J.K. Rowling's remarks,3/2/21,latimes.com,https://www.latimes.com/entertainment-arts/story/2021-03-02/hogwarts-legacy-harry-potter-game-trans-players,63,5.567671,-4.061935,2,2,2021,3,2,426,Rowling Trans Controversy,Rowling Trans Controversy
'Harry Potter' star Daniel Radcliffe doubles down on denouncing J.K. Rowling's transgender comments,11/2/22,foxnews.com,https://www.foxnews.com/entertainment/harry-potter-star-daniel-radcliffe-doubles-down-not-agreeing-creators-transgender-comments,63,6.1120005,-3.982028,3,3,2022,11,2,1036,Rowling Trans Controversy,Rowling Trans Controversy
'Harry Potter' stars are slamming J.K. Rowling's transphobic statements,6/11/20,dailydot.com,https://www.dailydot.com/unclick/harry-potter-actors-rowling-trans/,63,6.0438795,-3.8497143,1,1,2020,6,11,162,Rowling Trans Controversy,Rowling Trans Controversy
'Hot Hollywood' Podcast: Dwyane Wade Speaks Up for Transgender Daughter,6/9/22,usmagazine.com,https://www.usmagazine.com/celebrity-news/news/hot-hollywood-podcast-dwyane-wade-speaks-up-for-daughter-zaya/,76,-2.4995227,-5.09324,1,1,2022,6,9,890,Wades Trans Daughter,Wades Trans Daughter
"'I Am Suffering': Ezra Miller Seeking Treatment For 'Mental Health Issues' Following Months Of Legal Trouble, Erratic Behavior",8/16/22,radaronline.com,https://radaronline.com/p/erza-miller-seeking-treatment-mental-health-the-flash-rehab/,9,0.6081743,10.502371,1,1,2022,8,16,958,Ezra Miller Controversy,Ezra Miller Controversy
"'I Am Trans.' Elliot Page, Star of 'Juno' and 'Umbrella Academy,' Announces Transgender Identity",12/1/20,time.com,https://time.com/5916800/elliot-page-transgender-announcement/,84,-5.860283,9.703812,5,5,2020,12,1,335,Elliot Page Comes Out,Elliot Page Comes Out
'I Changed the Whole Game': Billy Porter Calls Out the Double Standard in Praising Harry Styles' Nonbinary Fashion,10/18/21,theroot.com,https://www.theroot.com/i-changed-the-whole-game-billy-porter-calls-out-the-do-1847887349,12,-0.5232258,-5.648509,2,2,2021,10,18,656,Porter-Styles Vogue Controversy,Porter-Styles Vogue Controversy
'I Do Not Apologize': Ne-Yo Retracts Earlier Statement About Gender Comments,8/8/23,townhall.com,https://townhall.com/tipsheet/leahbarkoukis/2023/08/08/ne-yo-retracts-publishers-apology-n2626752,20,-1.7657642,-5.7869673,1,1,2023,8,8,1315,Celebrity Apologies,Celebrity Apologies
'I am proud.' Demi Lovato comes out as nonbinary,5/19/21,abcnews.go.com,https://abcnews.go.com/Entertainment/wireStory/demi-lovato-binary-changing-pronouns-77777153,45,-1.2011175,-5.9970036,5,5,2021,5,19,504,Demi Lovatos Pronouns,Demi Lovatos Pronouns
'I am proud.' Demi Lovato comes out as nonbinary,5/19/21,pbs.org,https://www.pbs.org/newshour/nation/i-am-proud-demi-lovato-comes-out-as-nonbinary,45,-1.17871,-5.9951572,5,5,2021,5,19,504,Demi Lovatos Pronouns,Demi Lovatos Pronouns
'I am proud.' Demi Lovato comes out as nonbinary,5/19/21,startribune.com,https://www.startribune.com/i-am-proud-demi-lovato-comes-out-as-nonbinary/600058822/,45,-1.1815252,-5.982559,5,5,2021,5,19,504,Demi Lovatos Pronouns,Demi Lovatos Pronouns
'I am proud.' Demi Lovato comes out as nonbinary,5/19/21,stltoday.com,https://www.stltoday.com/news/national/i-am-proud-demi-lovato-comes-out-as-nonbinary/article_8343d888-0b04-5b34-bbaf-dc9f38ba6038.html,45,-1.2031832,-5.984724,5,5,2021,5,19,504,Demi Lovatos Pronouns,Demi Lovatos Pronouns
'I screwed up': Netflix's Ted Sarandos addresses Dave Chappelle fallout,10/20/21,nbcnews.com,https://www.nbcnews.com/pop-culture/celebrity/i-screwed-netflix-s-ted-sarandos-addresses-dave-chappelle-fallout-n1281944,52,0.6273055,-7.7228518,2,2,2021,10,20,658,Chappelle Controversy,Chappelle Controversy
'I will continue to fight': South Korea's first transgender soldier vows to oppose dismissal,1/22/20,reuters.com,http://feeds.reuters.com/~r/Reuters/worldNews/~3/0SLyPFWf4GI/i-will-continue-to-fight-south-koreas-first-transgender-soldier-vows-to-oppose-dismissal-idUSKBN1ZL0QN,66,9.143425,-2.6228838,6,6,2020,1,22,21,Transgender Soldier Case,Transgender Soldier Case
'I'm in': Caitlyn Jenner announces bid for California governor amid recall effort,4/23/21,abcnews.go.com,https://abcnews.go.com/Politics/im-caitlyn-jenner-announces-bid-california-governor-amid/story?id=77267361,36,-4.7798405,-3.01972,2,2,2021,4,23,478,Jenner Governor Bid,Jenner Governor Bid
'Jeopardy! champion Amy Schneider's history-making run ends,1/27/22,washingtonpost.com,https://www.washingtonpost.com/entertainment/tv/jeopardy-champ-amy-schneider-opens-a-new-chapter-for-show/2022/01/26/5f6c5230-7f08-11ec-8cc8-b696564ba796_story.html,85,-4.3108063,-7.8540936,1,1,2022,1,27,757,Amy Schneider Jeopardy!,Amy Schneider Jeopardy!
"'Jeopardy!' Champ Amy Schneider Becomes No. 2 in All-Time Wins: ""Still Feels Unreal""",1/25/22,hollywoodreporter.com,https://www.hollywoodreporter.com/tv/tv-news/jeopardy-amy-schneider-second-wins-matt-amodio-1235080357/,85,-4.3225784,-7.775036,1,1,2022,1,25,755,Amy Schneider Jeopardy!,Amy Schneider Jeopardy!
'Jeopardy!' Champ Amy Schneider's Win Streak Ends,1/27/22,hollywoodreporter.com,https://www.hollywoodreporter.com/tv/tv-news/jeopardy-amy-schneider-win-streak-over-1235081634/,85,-4.2599525,-7.8607807,1,1,2022,1,27,757,Amy Schneider Jeopardy!,Amy Schneider Jeopardy!
'Jeopardy!' Crowns Amy Schneider as Female Contestant With Most Consecutive Wins,12/31/21,thewrap.com,https://www.thewrap.com/jeopardy-crowns-amy-schneider-as-female-contestant-with-most-consecutive-wins/,85,-4.247629,-7.881912,2,2,2021,12,31,730,Amy Schneider Jeopardy!,Amy Schneider Jeopardy!
'Jeopardy!' champ Amy Schneider finally loses after 40-game streak,1/27/22,usatoday.com,https://www.usatoday.com/story/entertainment/tv/2022/01/27/jeopardy-winner-amy-schneider-loses-rhone-talsma/9227733002/,85,-4.283272,-7.859042,1,1,2022,1,27,757,Amy Schneider Jeopardy!,Amy Schneider Jeopardy!
'Jeopardy!' champ Amy Schneider opens a new chapter for show,1/27/22,abcnews.go.com,https://abcnews.go.com/Entertainment/wireStory/jeopardy-champ-amy-schneider-opens-chapter-show-82497401,85,-4.24753,-7.8300705,1,1,2022,1,27,757,Amy Schneider Jeopardy!,Amy Schneider Jeopardy!
"'Jeopardy!' champion Amy Schneider makes history, talks representation",12/1/21,usatoday.com,https://www.usatoday.com/story/entertainment/tv/2021/12/01/jeopardy-champion-amy-schneider-makes-history-talks-representation/8819509002/,85,-4.272331,-7.800499,2,2,2021,12,1,700,Amy Schneider Jeopardy!,Amy Schneider Jeopardy!
'Jeopardy!' champion Amy Schneider on what her winning streak means,1/10/22,npr.org,https://www.npr.org/2022/01/10/1071897007/jeopardy-champion-amy-schneider-on-what-her-winning-streak-means,85,-4.258997,-7.823023,1,1,2022,1,10,740,Amy Schneider Jeopardy!,Amy Schneider Jeopardy!
'Jeopardy!' champion Amy Schneider's history-making run ends,1/27/22,pbs.org,https://www.pbs.org/newshour/arts/jeopardy-champion-amy-schneiders-history-making-run-ends,85,-4.316395,-7.8592615,1,1,2022,1,27,757,Amy Schneider Jeopardy!,Amy Schneider Jeopardy!
'Jeopardy!' contestant Amy Schneider ties third-place record for consecutive wins,1/13/22,upi.com,https://www.upi.com/Entertainment_News/2022/01/13/Jeopardy-contestant-Amy-Schneider-ties-third-place-record-consecutive-wins/7671642123941/,85,-4.214115,-7.921526,1,1,2022,1,13,743,Amy Schneider Jeopardy!,Amy Schneider Jeopardy!
'Jeopardy!' millionaire Amy Schneider quit her job—here's what she's up to next,2/9/22,cnbc.com,https://www.cnbc.com/2022/02/09/jeopardy-champ-amy-schneider-quit-her-jobwhat-shes-up-to-next.html,85,-4.3021116,-7.8496504,2,2,2022,2,9,770,Amy Schneider Jeopardy!,Amy Schneider Jeopardy!
'Jeopardy!': Amy Schneider Reaches $1 Million With 28th Consecutive Victory,1/7/22,variety.com,https://variety.com/2022/tv/news/jeopardy-amy-schneider-1-million-1235149395/,85,7.242758,4.361266,1,1,2022,1,7,737,Amy Schneider Jeopardy!,Amy Schneider Jeopardy!
"'Jeopardy!': Amy Schneider continues streak, wins $1M in prize money",1/5/22,freep.com,http://rssfeeds.freep.com/~/677104952/0/freep/home~Jeopardy-champ-Amy-Schneider-has-won-over-M-in-prize-money-It-feels-amazing/,85,7.2549562,4.363133,1,1,2022,1,5,735,Amy Schneider Jeopardy!,Amy Schneider Jeopardy!
'Jeopardy!': Trans contestant Amy Schneider is five-time champion,11/21/21,usatoday.com,https://www.usatoday.com/story/entertainment/tv/2021/11/21/jeopardy-contestant-amy-schneider-trans-awareness-week-win/8710599002/,85,6.699024,4.224635,2,2,2021,11,21,690,Amy Schneider Jeopardy!,Amy Schneider Jeopardy!
'Jeopardy' Champion Amy Schneider Beats Matt Amodio's Streak for Second-Most Consecutive Wins,1/24/22,variety.com,https://variety.com/2022/tv/news/jeopardy-champion-amy-schneider-second-most-consecutive-wins-1235161830/,85,-4.262119,-7.891984,1,1,2022,1,24,754,Amy Schneider Jeopardy!,Amy Schneider Jeopardy!
'Jeopardy' Champion Amy Schneider's Streak Ends After 40 Games,1/26/22,variety.com,https://variety.com/2022/tv/news/amy-schneider-loses-jeopardy-1235164150/,85,-4.309169,-7.8468523,1,1,2022,1,26,756,Amy Schneider Jeopardy!,Amy Schneider Jeopardy!
